skills,interests,experience_level,resume_text,career
"nlp, tensorflow, api","product, ai",Advanced,"Built projects using nlp, tensorflow, api with focus on ai engineer outcomes and measurable impact.",AI Engineer
"nlp, rag, deployment","automation, ai",Intermediate,"Built projects using nlp, rag, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"rag, deployment, api","systems, security",Intermediate,"Built projects using rag, deployment, api with focus on ai engineer outcomes and measurable impact.",AI Engineer
"api, nlp, deployment, python","systems, product",Advanced,"Built projects using api, nlp, deployment, python with focus on ai engineer outcomes and measurable impact.",AI Engineer
"rag, tensorflow, api, machine learning, nlp","security, analytics",Intermediate,"Built projects using rag, tensorflow, api, machine learning, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"tensorflow, api, deployment, rag, llm, machine learning","product, ai",Beginner,"Built projects using tensorflow, api, deployment, rag, llm, machine learning with focus on ai engineer outcomes and measurable impact.",AI Engineer
"nlp, api, llm, rag, machine learning","automation, product",Intermediate,"Built projects using nlp, api, llm, rag, machine learning with focus on ai engineer outcomes and measurable impact.",AI Engineer
"api, deployment, tensorflow, nlp, machine learning, rag, python","security, systems",Intermediate,"Built projects using api, deployment, tensorflow, nlp, machine learning, rag, python with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, tensorflow, deployment, machine learning, llm","security, systems",Intermediate,"Built projects using python, tensorflow, deployment, machine learning, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, tensorflow, llm, api, rag","cloud, ai",Beginner,"Built projects using python, tensorflow, llm, api, rag with focus on ai engineer outcomes and measurable impact.",AI Engineer
"rag, python, api, llm","automation, analytics",Intermediate,"Built projects using rag, python, api, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"api, python, tensorflow, deployment","cloud, systems",Beginner,"Built projects using api, python, tensorflow, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"rag, python, deployment, api","product, analytics",Beginner,"Built projects using rag, python, deployment, api with focus on ai engineer outcomes and measurable impact.",AI Engineer
"llm, deployment, api, machine learning, tensorflow","product, security",Beginner,"Built projects using llm, deployment, api, machine learning, tensorflow with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, api, llm, deployment","cloud, analytics",Intermediate,"Built projects using python, api, llm, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"nlp, machine learning, llm, deployment, rag, tensorflow, python","automation, analytics",Intermediate,"Built projects using nlp, machine learning, llm, deployment, rag, tensorflow, python with focus on ai engineer outcomes and measurable impact.",AI Engineer
"api, python, llm, deployment, rag","product, analytics",Intermediate,"Built projects using api, python, llm, deployment, rag with focus on ai engineer outcomes and measurable impact.",AI Engineer
"nlp, api, python, deployment, llm","product, analytics",Beginner,"Built projects using nlp, api, python, deployment, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"machine learning, rag, tensorflow","product, automation",Intermediate,"Built projects using machine learning, rag, tensorflow with focus on ai engineer outcomes and measurable impact.",AI Engineer
"api, machine learning, deployment, python","ai, product",Intermediate,"Built projects using api, machine learning, deployment, python with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, machine learning, deployment, tensorflow, api, nlp","security, systems",Beginner,"Built projects using python, machine learning, deployment, tensorflow, api, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, deployment, api, nlp, machine learning","ai, product",Beginner,"Built projects using python, deployment, api, nlp, machine learning with focus on ai engineer outcomes and measurable impact.",AI Engineer
"nlp, rag, tensorflow, deployment","security, systems",Beginner,"Built projects using nlp, rag, tensorflow, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"llm, python, api, tensorflow","systems, product",Advanced,"Built projects using llm, python, api, tensorflow with focus on ai engineer outcomes and measurable impact.",AI Engineer
"nlp, rag, llm, machine learning, python, deployment","analytics, security",Advanced,"Built projects using nlp, rag, llm, machine learning, python, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"machine learning, deployment, api, python, llm, tensorflow, nlp","cloud, security",Beginner,"Built projects using machine learning, deployment, api, python, llm, tensorflow, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"nlp, deployment, python, api, llm, machine learning","automation, analytics",Intermediate,"Built projects using nlp, deployment, python, api, llm, machine learning with focus on ai engineer outcomes and measurable impact.",AI Engineer
"api, python, nlp","analytics, systems",Advanced,"Built projects using api, python, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"nlp, python, api, deployment, llm","ai, product",Intermediate,"Built projects using nlp, python, api, deployment, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"api, rag, nlp","analytics, systems",Intermediate,"Built projects using api, rag, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"machine learning, nlp, rag","systems, security",Beginner,"Built projects using machine learning, nlp, rag with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, rag, tensorflow, llm","analytics, systems",Beginner,"Built projects using python, rag, tensorflow, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, deployment, tensorflow, llm, rag","systems, ai",Advanced,"Built projects using python, deployment, tensorflow, llm, rag with focus on ai engineer outcomes and measurable impact.",AI Engineer
"rag, nlp, llm, deployment, tensorflow","ai, cloud",Intermediate,"Built projects using rag, nlp, llm, deployment, tensorflow with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, machine learning, tensorflow, rag, nlp","cloud, analytics",Intermediate,"Built projects using python, machine learning, tensorflow, rag, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, api, deployment, tensorflow","systems, analytics",Intermediate,"Built projects using python, api, deployment, tensorflow with focus on ai engineer outcomes and measurable impact.",AI Engineer
"llm, deployment, rag, nlp, tensorflow, machine learning, python","automation, analytics",Beginner,"Built projects using llm, deployment, rag, nlp, tensorflow, machine learning, python with focus on ai engineer outcomes and measurable impact.",AI Engineer
"tensorflow, llm, nlp, api, deployment, rag, python","ai, security",Intermediate,"Built projects using tensorflow, llm, nlp, api, deployment, rag, python with focus on ai engineer outcomes and measurable impact.",AI Engineer
"tensorflow, nlp, llm, python, machine learning, deployment, rag","analytics, automation",Intermediate,"Built projects using tensorflow, nlp, llm, python, machine learning, deployment, rag with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, machine learning, llm, nlp","systems, security",Advanced,"Built projects using python, machine learning, llm, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"llm, python, deployment","automation, systems",Advanced,"Built projects using llm, python, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"tensorflow, deployment, llm, nlp, python, rag, api","security, systems",Intermediate,"Built projects using tensorflow, deployment, llm, nlp, python, rag, api with focus on ai engineer outcomes and measurable impact.",AI Engineer
"rag, api, python, llm, tensorflow, machine learning","analytics, security",Intermediate,"Built projects using rag, api, python, llm, tensorflow, machine learning with focus on ai engineer outcomes and measurable impact.",AI Engineer
"machine learning, deployment, api, tensorflow","analytics, automation",Advanced,"Built projects using machine learning, deployment, api, tensorflow with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, machine learning, tensorflow, api, llm, deployment, nlp","systems, product",Intermediate,"Built projects using python, machine learning, tensorflow, api, llm, deployment, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, machine learning, rag, nlp","ai, systems",Beginner,"Built projects using python, machine learning, rag, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, tensorflow, deployment, rag, api, llm","product, cloud",Intermediate,"Built projects using python, tensorflow, deployment, rag, api, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"machine learning, rag, tensorflow, python, nlp, llm","analytics, ai",Intermediate,"Built projects using machine learning, rag, tensorflow, python, nlp, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"rag, machine learning, tensorflow, api, deployment","product, analytics",Beginner,"Built projects using rag, machine learning, tensorflow, api, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"rag, python, deployment, machine learning, nlp, api, llm","cloud, automation",Intermediate,"Built projects using rag, python, deployment, machine learning, nlp, api, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"machine learning, tensorflow, rag, deployment, llm, python","security, systems",Intermediate,"Built projects using machine learning, tensorflow, rag, deployment, llm, python with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, deployment, api, tensorflow","ai, cloud",Advanced,"Built projects using python, deployment, api, tensorflow with focus on ai engineer outcomes and measurable impact.",AI Engineer
"deployment, nlp, rag","analytics, automation",Beginner,"Built projects using deployment, nlp, rag with focus on ai engineer outcomes and measurable impact.",AI Engineer
"llm, deployment, nlp, tensorflow, python, machine learning","systems, analytics",Intermediate,"Built projects using llm, deployment, nlp, tensorflow, python, machine learning with focus on ai engineer outcomes and measurable impact.",AI Engineer
"machine learning, tensorflow, deployment","ai, security",Advanced,"Built projects using machine learning, tensorflow, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"rag, tensorflow, python, api, nlp, machine learning, deployment","ai, product",Beginner,"Built projects using rag, tensorflow, python, api, nlp, machine learning, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"llm, machine learning, api, deployment","systems, ai",Beginner,"Built projects using llm, machine learning, api, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"tensorflow, nlp, python, rag, api, deployment","analytics, automation",Advanced,"Built projects using tensorflow, nlp, python, rag, api, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, rag, deployment, api, tensorflow, machine learning, nlp","product, security",Intermediate,"Built projects using python, rag, deployment, api, tensorflow, machine learning, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"tensorflow, llm, rag, api, deployment, python","product, security",Intermediate,"Built projects using tensorflow, llm, rag, api, deployment, python with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, tensorflow, deployment, api, nlp","analytics, cloud",Beginner,"Built projects using python, tensorflow, deployment, api, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"llm, nlp, api","product, analytics",Intermediate,"Built projects using llm, nlp, api with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, tensorflow, machine learning, llm, rag","product, analytics",Beginner,"Built projects using python, tensorflow, machine learning, llm, rag with focus on ai engineer outcomes and measurable impact.",AI Engineer
"machine learning, llm, rag, nlp, deployment, tensorflow, python","product, analytics",Intermediate,"Built projects using machine learning, llm, rag, nlp, deployment, tensorflow, python with focus on ai engineer outcomes and measurable impact.",AI Engineer
"machine learning, nlp, rag, llm, tensorflow","security, cloud",Intermediate,"Built projects using machine learning, nlp, rag, llm, tensorflow with focus on ai engineer outcomes and measurable impact.",AI Engineer
"tensorflow, machine learning, llm","security, cloud",Intermediate,"Built projects using tensorflow, machine learning, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"llm, tensorflow, deployment, api, nlp","analytics, security",Intermediate,"Built projects using llm, tensorflow, deployment, api, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"deployment, nlp, tensorflow, rag, api, llm","security, analytics",Beginner,"Built projects using deployment, nlp, tensorflow, rag, api, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, machine learning, llm, deployment, tensorflow","ai, product",Beginner,"Built projects using python, machine learning, llm, deployment, tensorflow with focus on ai engineer outcomes and measurable impact.",AI Engineer
"deployment, machine learning, rag, llm","ai, security",Advanced,"Built projects using deployment, machine learning, rag, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, nlp, tensorflow, machine learning, api","systems, security",Intermediate,"Built projects using python, nlp, tensorflow, machine learning, api with focus on ai engineer outcomes and measurable impact.",AI Engineer
"deployment, rag, python, llm, nlp, api, tensorflow","analytics, automation",Beginner,"Built projects using deployment, rag, python, llm, nlp, api, tensorflow with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, api, nlp, deployment, machine learning, rag","security, ai",Intermediate,"Built projects using python, api, nlp, deployment, machine learning, rag with focus on ai engineer outcomes and measurable impact.",AI Engineer
"machine learning, deployment, api, python, rag","cloud, ai",Advanced,"Built projects using machine learning, deployment, api, python, rag with focus on ai engineer outcomes and measurable impact.",AI Engineer
"rag, tensorflow, python, machine learning, api, nlp, deployment","analytics, systems",Intermediate,"Built projects using rag, tensorflow, python, machine learning, api, nlp, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"deployment, nlp, api, tensorflow, llm, rag, machine learning","cloud, systems",Intermediate,"Built projects using deployment, nlp, api, tensorflow, llm, rag, machine learning with focus on ai engineer outcomes and measurable impact.",AI Engineer
"deployment, nlp, tensorflow, llm, rag","automation, ai",Intermediate,"Built projects using deployment, nlp, tensorflow, llm, rag with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, api, tensorflow, nlp","automation, product",Beginner,"Built projects using python, api, tensorflow, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"api, machine learning, llm","security, systems",Beginner,"Built projects using api, machine learning, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"api, deployment, tensorflow, python, llm","security, product",Intermediate,"Built projects using api, deployment, tensorflow, python, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, tensorflow, deployment, rag, nlp, api, llm","ai, systems",Intermediate,"Built projects using python, tensorflow, deployment, rag, nlp, api, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"nlp, llm, tensorflow, deployment, api, machine learning","product, systems",Intermediate,"Built projects using nlp, llm, tensorflow, deployment, api, machine learning with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, deployment, llm","automation, security",Intermediate,"Built projects using python, deployment, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"api, deployment, nlp, rag, tensorflow, llm, python","automation, security",Beginner,"Built projects using api, deployment, nlp, rag, tensorflow, llm, python with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, llm, api","automation, product",Intermediate,"Built projects using python, llm, api with focus on ai engineer outcomes and measurable impact.",AI Engineer
"tensorflow, api, llm, rag, python, nlp","security, analytics",Beginner,"Built projects using tensorflow, api, llm, rag, python, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, tensorflow, machine learning, llm, nlp, api, rag","cloud, automation",Advanced,"Built projects using python, tensorflow, machine learning, llm, nlp, api, rag with focus on ai engineer outcomes and measurable impact.",AI Engineer
"api, nlp, deployment, machine learning","analytics, security",Beginner,"Built projects using api, nlp, deployment, machine learning with focus on ai engineer outcomes and measurable impact.",AI Engineer
"tensorflow, python, llm, rag, machine learning, api","product, cloud",Intermediate,"Built projects using tensorflow, python, llm, rag, machine learning, api with focus on ai engineer outcomes and measurable impact.",AI Engineer
"machine learning, api, deployment","ai, security",Advanced,"Built projects using machine learning, api, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"deployment, python, llm, rag","cloud, analytics",Intermediate,"Built projects using deployment, python, llm, rag with focus on ai engineer outcomes and measurable impact.",AI Engineer
"deployment, rag, nlp","cloud, systems",Intermediate,"Built projects using deployment, rag, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"machine learning, api, deployment, llm, nlp","systems, automation",Intermediate,"Built projects using machine learning, api, deployment, llm, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"deployment, tensorflow, python, nlp, llm","systems, analytics",Advanced,"Built projects using deployment, tensorflow, python, nlp, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"nlp, python, machine learning","security, automation",Intermediate,"Built projects using nlp, python, machine learning with focus on ai engineer outcomes and measurable impact.",AI Engineer
"nlp, tensorflow, api, rag, llm","security, product",Intermediate,"Built projects using nlp, tensorflow, api, rag, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, llm, nlp, deployment","security, automation",Advanced,"Built projects using python, llm, nlp, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, llm, nlp","product, analytics",Intermediate,"Built projects using python, llm, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"nlp, python, api, llm","security, cloud",Intermediate,"Built projects using nlp, python, api, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"machine learning, deployment, llm","analytics, cloud",Beginner,"Built projects using machine learning, deployment, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"api, llm, machine learning, python","security, analytics",Intermediate,"Built projects using api, llm, machine learning, python with focus on ai engineer outcomes and measurable impact.",AI Engineer
"nlp, api, llm, tensorflow","product, analytics",Intermediate,"Built projects using nlp, api, llm, tensorflow with focus on ai engineer outcomes and measurable impact.",AI Engineer
"api, deployment, rag, llm, python, machine learning, tensorflow","analytics, systems",Beginner,"Built projects using api, deployment, rag, llm, python, machine learning, tensorflow with focus on ai engineer outcomes and measurable impact.",AI Engineer
"deployment, api, python","automation, analytics",Beginner,"Built projects using deployment, api, python with focus on ai engineer outcomes and measurable impact.",AI Engineer
"nlp, machine learning, tensorflow, api, deployment, python","analytics, automation",Beginner,"Built projects using nlp, machine learning, tensorflow, api, deployment, python with focus on ai engineer outcomes and measurable impact.",AI Engineer
"llm, rag, deployment, nlp, api, tensorflow","security, systems",Intermediate,"Built projects using llm, rag, deployment, nlp, api, tensorflow with focus on ai engineer outcomes and measurable impact.",AI Engineer
"machine learning, deployment, rag, llm, python, tensorflow","security, cloud",Beginner,"Built projects using machine learning, deployment, rag, llm, python, tensorflow with focus on ai engineer outcomes and measurable impact.",AI Engineer
"tensorflow, llm, nlp","ai, product",Intermediate,"Built projects using tensorflow, llm, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"llm, nlp, tensorflow, python","analytics, ai",Intermediate,"Built projects using llm, nlp, tensorflow, python with focus on ai engineer outcomes and measurable impact.",AI Engineer
